date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
05-01-2021,85.01,,,,,,,,207,,,actual
05-08-2021,83.95,,,,,,,,163,,,actual
05-15-2021,83.56,,,,,,,,147,,,actual
05-22-2021,81.4,42,41,44,81.26,81.6,42 [41 - 44],81.4% [81.26% - 81.6%],58,52,66,projected
05-29-2021,81.19,35,32,37,80.99,81.26,35 [32 - 37],81.19% [80.99% - 81.26%],49,41,52,projected
06-05-2021,80.92,34,31,36,80.56,81.28,34 [31 - 36],80.92% [80.56% - 81.28%],38,23,53,projected
06-12-2021,80.85,25,22,31,80.46,81.26,25 [22 - 31],80.85% [80.46% - 81.26%],35,19,52,projected
06-19-2021,80.82,32,28,39,80.15,82.03,32 [28 - 39],80.82% [80.15% - 82.03%],34,6,84,projected
06-26-2021,80.99,35,31,44,80.15,82.33,35 [31 - 44],80.99% [80.15% - 82.33%],41,6,96,projected
07-03-2021,81.09,41,35,52,80.36,82.98,41 [35 - 52],81.09% [80.36% - 82.98%],45,15,123,projected
